Type of case,Total elections,Type of election — Consent,Type of election — Stipulated,Type of election — Board ordered,Type of election — Regional director directed
All elections — Total elections held,4524,1769,1467,1265,23
"All elections — Eligible voters, total",363672,93671,136260,132330,1411
"All elections — Valid votes, total",326314,82980,124527,117629,1178
RC cases — Total,4099,1603,1383,1113,0
RC cases — Eligible voters,333935,84062,128009,121864,0
RC cases — Valid votes,300363,74642,117139,108582,0
RM cases — Total,238,96,55,87,0
RM cases — Eligible voters,17282,5399,4984,6899,0
RM cases — Valid votes,15065,4735,4418,5912,0
RD cases — Total,153,62,29,62,0
RD cases — Eligible voters,10124,3398,3267,3459,0
RD cases — Valid votes,9082,3064,2970,3048,0
UD cases — Total,34,8,0,3,23
UD cases — Eligible voters,2331,812,0,108,1411
UD cases — Valid votes,1804,539,0,87,1178
