Union affiliation,Elections participated in — Total,Elections participated in — Resulting in certification — Number,Elections participated in — Resulting in certification — Percent of total,Elections participated in — Resulting in decertification — Number,Elections participated in — Resulting in decertification — Percent of total,Employees involved in elections (number eligible to vote) — Total eligible,Employees involved in elections (number eligible to vote) — Resulting in certification — Number,Employees involved in elections (number eligible to vote) — Resulting in certification — Percent of total eligible,Employees involved in elections (number eligible to vote) — Resulting in decertification — Number,Employees involved in elections (number eligible to vote) — Resulting in decertification — Percent of total eligible,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Valid votes cast — Cast for the union — Number,Valid votes cast — Cast for the union — Percent of total cast
Total elections,157,55,35.0,102,65.0,13002,7478,57.5,5524,42.5,11825,90.9,5889,49.8
A.F.L.,105,27,25.7,78,74.3,7351,3246,44.2,4105,55.8,6724,91.5,3061,45.5
C.I.O.,41,24,58.5,17,41.5,4294,3134,73.0,1160,27.0,3905,91.6,2399,61.4
Unaffiliated,11,4,36.4,7,63.6,1387,1098,79.2,289,20.8,1196,86.2,619,51.8
