Case status / disposition,Number of cases / Total,Number of cases / Identification of party filing / A. F. of L. affiliate,Number of cases / Identification of party filing / C. I. O. affiliate,Number of cases / Identification of party filing / Unaffiliated union,Number of cases / Identification of party filing / Individual
Cases received July 1943-June 1944,1089,726,156,201,6
Cases closed July 1943-June 1944,1035,683,150,196,6
Method of disposition — Poll conducted,232,172,26,34,0
Method of disposition — Withdrawn,688,457,115,111,5
Method of disposition — Closed otherwise,115,54,9,51,1
"Cases pending June 30, 1944",54,43,6,5,0
