Stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases / Number of cases,RC cases / Percent of cases closed,RM cases / Number of cases,RM cases / Percent of cases closed,RD cases / Number of cases,RD cases / Percent of cases closed,UD cases / Number of cases,UD cases / Percent of cases closed
Total number of cases closed,12000,100.0,10254,100.0,973,100.0,773,100.0,165,100.0
Before issuance of notice of hearing,5426,45.2,4297,41.9,663,68.1,466,60.3,93,56.4
After issuance of notice before close of hearing,4341,36.2,3955,38.6,183,18.8,203,26.3,6,3.6
After hearing closed before issuance of regional director's decision,114,1.0,90,.9,17,1.7,7,.9,0,0
After issuance of regional director's decision,1959,16.3,1776,17.3,93,9.6,27,11.6,63,38.2
After issuance of Board decision,160,1.3,136,1.3,17,1.8,7,.9,3,1.8
