row_label,All C cases / Number,All C cases / Per-cent of total closed,All C cases / Per-cent of total method,CA cases / Number,CA cases / Per-cent of total closed,CB cases / Number,CB cases / Per-cent of total closed,CC cases / Number,CC cases / Per-cent of total closed,CD cases / Number,CD cases / Per-cent of total closed,CE cases / Number,CE cases / Per-cent of total closed,CG cases / Number,CG cases / Per-cent of total closed,CP cases / Number,CP cases / Per-cent of total closed
10(k) actions (see Table 7A for details of dispositions),31,0.1,,0,0.0,0,0.0,0,0.0,31,29.5,0,0.0,0,0.0,0,0.0
Otherwise (compliance with order of administrative law judge or Board not achieved—firm went out of business),135,0.5,,133,0.7,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
