row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
AFL-CIO v. National...............................,1757,1618,498,1120,,66,20,12,8,,53
AFL-CIO v. AFL-CIO.............................,4622,2851,2851,,,273,591,591,,,907
AFL-CIO v. Local....................................,1846,1689,1015,,674,112,12,8,,4,33
2-union elections...................................,10170,7904,4364,2162,1378,541,655,611,40,4,1070
AFL-CIO v. AFL-CIO v. AFL-CIO.......,182,0,,,,,55,55,0,0,127
AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO..................................................,1805,0,,,,,1388,1388,0,0,417
AFL-CIO v. AFL-CIO v. National..........,73,38,7,31,,15,20,20,0,,0
AFL-CIO v. Local v. Local......................,143,142,52,0,90,1,0,,,,
Local v. Local v. Local.............................,13,13,0,0,13,0,0,,,,
3 (or more)-union elections...................,2216,193,59,31,103,16,1463,1463,0,0,544
Total RC elections.................................,133259,44984,38210,3728,3046,16416,26206,25011,675,520,45653
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
AFL-CIO..................................................,2037,212,212,,,157,639,639,,,1029
Other national unions................................,33,17,0,17,0,16,0,,,,
1-union elections...................................,2070,229,212,17,0,173,639,639,0,0,1029
AFL-CIO v. AFL-CIO.............................,117,117,117,0,0,0,0,,,,
AFL-CIO v. National...............................,6,0,,,,,6,0,6,0,0
2-union elections...................................,123,117,117,0,0,0,6,0,6,0,0
Total RMelections................................,2193,346,329,17,0,173,645,639,6,0,1029
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
Other national unions................................,1319,624,,624,,464,73,,73,,158
Other local unions.....................................,312,167,,,167,31,42,,,42,72
AFL-CIO..................................................,23262,7423,7423,,,4273,3561,3561,,,8005
1-union elections...................................,24893,8214,7423,624,167,4768,3676,3561,73,42,8235
AFL-CIO v. AFL-CIO.............................,11,0,,,,,6,6,0,0,5
AFL-CIO v. Local....................................,62,61,12,0,49,1,0,,,,
