Industrial group,All cases,Unfair labor practice cases / AII C,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / AII R,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Wholesale trade,1836,1296,1008,272,12,1,1,2,322,249,9,64,7,0,11
Services (subtotal),8801,6888,5406,1567,67,15,4,21,1439,1174,27,238,5,1,124
Public administration,108,76,43,20,0,0,0,0,30,22,0,1,0,0,30
All industrial groups (grand total),39936,34040,26244,6989,463,134,22,98,5466,4331,174,971,14,31,285
Other industries (catch-all),,,,,,,,,,,,,,,
