row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed,32346,100.0,,23705,100.0,7660,100.0,624,100.0,186,100.0,35,100.0,27,100.0,109,100.0
Agreement of the parties,9795,30.3,100.0,8304,35.0,1098,14.3,317,50.8,7,3.7,14,40.0,10,37.0,45,41.2
Informal settlement,9601,29.7,98.0,8165,34.3,1066,139,295,47.2,7,3.7,14,40.0,10,37.0,44,40.3
"Before issuance of complaint Alter issuance of complaint, before opening of hearing .","6,900 2,674",21.3 8.3,70.4 27.4,"5,793 2,348",24.3 9.9,818 248,10.6 3.2,237 58,37.9 9.2,(2) 4,- 2.1,8 6,228 17.1,9 1,333 3.7,35 9,321 8.2
"After hearing opened, before issuance of admin- istmtive law judge's decision",27,0.1,0.3,24,0.1,0,,0,,3,1.6,0,,0,,0,
Formal settlement,194,0.6,2.0,139,03,32,0.4,22,33,o,,o,,o,,1,0.9
"After issuance of complaint, before opening of hearing",89,03,0.9,41,0.1,28,0.3,20,3.2,o,,o,,o,,o,
Stipulated decision Consent decree,4 85,0.0 0.3,0.0 09,4 37,0.0 0.1,0 28,- 0.3,o 20,- 3.2,o o,,o o,,o o,,o o,
After hearing opened,105,0.3,1.1,98,0.4,4,0.0,2,0.3,0,,0,,0,,1,0.9
Stipulated decision . Consent decree,5 100,0.0 0.3,0.1 1.0,5 93,0.0 0.3,0 4,- 0.0,0 2,-- 0.3,0 0,,0 0,,o 0,,o 1,- 0.9
Compliance with,815,2.5,1000,695,2.9,96,1.2,22,33,0,,0,,1,37,1,0.9
