Basis on which case closed,Number of cases,All cases with collective bargaining information available / Total,All cases with collective bargaining information available / Collective bargaining in effect / Number,All cases with collective bargaining information available / Collective bargaining in effect / Percent,All cases with collective bargaining information available / No collective bargaining / Number,All cases with collective bargaining information available / No collective bargaining / Percent,Company out of business,Information not available
Adjusted,800,772,517,67.0,255,33.0,10,18
Compliance after formal action,141,135,81,60.0,54,40.0,5,1
Board order,66,65,35,53.8,30,46.2,0,1
Consent decree,50,47,30,63.8,17,36.2,2,1
Court order,25,23,16,69.6,7,30.4,3,0
Total,936,902,597,66.2,305,33.8,15,19
