Size of unit (number of employees),Number eligible to vote,Total elections,Percent of total,Cumulative percent of total,Elections won by AFL-CIO unions Number,AFL-CIO Percent by size class,Teamsters Number,Teamsters Percent by size class,Other national unions Number,Other national unions Percent by size class,Other local unions Number,Other local unions Percent by size class,Elections in which no representative was chosen Percent by size class
A. CERTIFICATION ELECTIONS (RC & RM),,,,,,,,,,,,,
Total RC and RM elections,550610,7618,100.0,,2734,100.0,1247,100.0,244,100.0,167,100.0,100.0
"Size-of-unit brackets (Under 10 / 10-19 / 20-29 / 30-39 / 40-49 / 50-59 / 60-69 / 70-79 / 80-89 / 90-99 / 100-119 / 120-139 / 140-159 / 160-179 / 180-199 / 200-299 / 300-399 / 400-499 / 500-599 / 600-699 / 700-799 / 800-899 / 900-999 / 1,000 and over) — ~24 brackets",,,,,,,,,,,,,
