Division and State,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC
South Atlantic (partial total),6138,,,,,,,,,,,,,,
East South Central (partial total),2668,,,,,,,,,,,,,,
West South Central (partial total),3500,,,,,,,,,,,,,,
Mountain (partial total),,,,,,,,,,,,,,,
Pacific (partial total),,,,,,,,,,,,,,,
Outlying areas,270,180,,,,,,,,,,,,,
"Total, all States and areas",49335,33544,,,,,,,,14189,11846,888,1457,,
