Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representation chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes for unions — Total,Valid votes for unions — AFL-CIO unions,Valid votes for unions — Other national unions,Valid votes for unions — Other local unions,Total votes for no union,Total employees in units choosing representation
South Atlantic Division — subtotal,509,158,134,14,10,151,23920,20805,10411,8648,388,1377,10392,9641
East South Central Division — subtotal,146,81,77,4,0,65,15883,14278,6560,5460,1180,0,7718,7070
West South Central Division — subtotal,147,75,72,2,1,72,18058,16673,8089,8440,208,1072,6873,11485
Mountain Division — subtotal,142,67,39,1,6,75,6642,5453,2633,2414,71,127,2820,2233
