row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won — Total,Votes for unions — AFL-CIO,Votes for unions — Teamsters,Votes for unions — Other national,Votes for unions — Other local,Votes for no union,Valid votes cast in elections lost — Total,Total votes for unions — AFL-CIO,Total votes for unions — Teamsters,Total votes for unions — Other national,Total votes for unions — Other local,Votes for no union
C. RM cases (cont'd) — 2-union elections,59,57,47,10,,0,0,,,,,,2,
C. RM cases — Total RM elections,1428,260,158,94,8,0,95,,313,264,21,0,28,760
D. Elections in RD cases — 1-union AFL-CIO,22134,6983,6983,,,,3968,15151,3956,,,,7207,
D. Elections in RD cases — 1-union Teamsters,5761,1208,,1208,,,640,4553,,1119,,,2794,
D. Elections in RD cases — 1-union TOTAL,29119,8356,6983,1208,79,86,4697,23936,3956,1119,35,258,10698,
D. Elections in RD cases — 2-union TOTAL,798,742,352,100,0,290,15,26,,,,,31,
D. Elections in RD cases — 3-or-more-union TOTAL,469,465,329,32,0,104,4,,,,,,,
Total RD elections,30386,9563,7664,1340,79,480,4716,,5378,,,,10729,
