row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Maine,16,6,3,1,1,1,10,1418,1269,553,383,20,26,124,716,265
New Hampshire,10,6,5,1,0,0,4,625,591,271,259,12,0,0,320,164
Vermont,II,3,1,2,0,0,8,269,255,108,86,22 579,0,0,147,"31 3,159"
Massachusetts,204,127,107,17,0,3,77,"8,453 304","7,277 279","3,618 156","2,929 73",61,20 0,90 22,"3,659 123",179
Rhode Island Connecticut,14 55,9 22,6 14,2 7,0 0,1 1,5 33,4800,4284,2011,1390,578,13,30,2273,1786
New England,,173,136,30,I,6,137,,13955,6717,5120,1272,59,266,7238,5584
,310,190,109,37,,,,15869,,8733,5107,837,759,2030,6418,11011
New York New Jersey,364 205,88,46,28,3 I,41,174 117,"18,690 10,807","15,151 9,269",4261,2811,1033,65,352,5008,3401
Pennsylvania,276,115,64,40,2,13 9,161,11156,9789,4685,3038,1158,54,435,5104,4366
Middle Atlantic,845,393,219,105,6,63,452,40653,34209,17679,10956,3028,878,2817,16530,18778
Ohio,297,120,76,37,5.,2,177,16923,15448,6669,5297,1014,256,102,8779,5141
Indiana,134,55,28,23,2,2,79,5839,5539,2451,1721,573,33,124,3088,1990
Illinois,222,79,41,21,5,12,143,9498,8370,3486,2033,510,144,799,4884,2515
Michigan,300,126,87,34,1,4,174,17101,14860,7031,5679,1058,153,141,7829,6471
Wisconsin,123,36,24,9,0,3,87,6598,6014,2512,1696,481,26,309,3502,1344
East North Central,1076,416,256,124,13,23,660,55959,50231,22149,16426,3636,612,1475,28082,17461
Iowa,57,27,16,8,0,3,30,2444,2238,1138,714,351,0,73,1100,1134
Minnesota,123,50,25,16,4,5,73,4138,3706,1697,883,486,41,287,2009,1524
Missouri,144,60,32,22,2,4,84,6652,5946,2629,1502,1015,48,64,3317,1650
North Dakota,9,7,4,3,0,0,2,310,281,166,132,34,0,0,115,228
South Dakota,5,3,3,0,0,0,2,169,158,64,46,18,0,0,94,29
Nebraska,10,4,2,2,0,0,6,1509,1217,371,363,8 131,0,0,846,83
Kansas,49,12,9,3,0,0,37,2157,1991,594,463,,0,0,1397,269
West,,,,,,,,,15537,6659,4103,2043,89,424,8878,4917
North Central,397,163,91,54,6,12,.'-. 234,17379,,,,,,,,
