NLRB Region,Number of cases in which — Complaints were issued,Number of cases in which — Hearings were held,Number of cases in which — Intermediate reports issued,Cases transferred to N.L.R.B. by — Exceptions to intermediate report,Cases transferred to N.L.R.B. by — Noncompliance with intermediate report,Cases transferred to N.L.R.B. by — Board order,Total,Number of cases decided
Board,,,,,,,,1
1. Boston,22,13,15,17,,7,24,22
2. New York,81,61,55,51,5,14,70,38
3. Buffalo,17,17,22,23,,1,24,12
4. Philadelphia,29,25,20,22,,14,36,21
5. Baltimore,23,7,17,16,,18,34,7
6. Pittsburgh,12,6,7,7,,6,13,6
7. Detroit,24,19,11,14,,4,18,11
8. Cleveland,9,8,9,9,,3,12,7
9. Cincinnati,11,9,10,10,1,2,13,9
10. Atlanta,35,34,31,35,,10,45,20
11. Indianapolis,16,12,9,12,,5,17,21
12. Milwaukee,13,6,10,12,,5,17,17
13. Chicago,47,36,40,40,,4,44,24
14. St. Louis,9,9,11,10,,5,15,13
15. New Orleans,36,32,3,5,,28,33,37
16. Fort Worth,22,24,26,30,,5,35,12
17. Kansas City,16,16,10,15,,7,22,13
18. Minneapolis,15,16,13,12,,2,14,8
19. Seattle,19,10,10,11,,13,24,14
20. San Francisco,11,23,5,5,,21,26,5
21. Los Angeles,45,34,23,25,,18,43,10
22. Denver,7,7,10,10,1,2,14,20
Total,522,424,371,390,7,191,588,381
