Stage of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases 1 / Number of cases,CA cases 1 / Percent of cases closed,CB cases 1 / Number of cases,CB cases 1 / Percent of cases closed,CC cases 1 / Number of cases,CC cases 1 / Percent of cases closed,CD cases 1 / Number of cases,CD cases 1 / Percent of cases closed,CE cases 1 / Number of cases,CE cases 1 / Percent of cases closed,CP cases 1 / Number of cases,CP cases 1 / Percent of cases closed
Total number of cases closed,11924,100.0,7924,100.0,2957,100.0,651,100.0,193,100.0,15,100.0,184,100.0
Before issuance of complaint,10309,86.5,6970,87.2,2514,85.0,509,78.1,185,95.9,15,100.0,177,96.2
"After issuance of complaint, before opening of hearing",767,6.4,492,6.2,204,6.9,62,9.5,2,1.0,0,.0,7,3.8
"After hearing opened, before issuance of intermediate report",185,1.6,118,1.5,41,1.4,22,3.4,4,2.1,0,.0,0,.0
"After intermediate report, before issuance of Board decision",116,1.0,81,1.0,32,1.1,3,.5,0,.0,0,.0,0,.0
After Board order adopting intermediate report in absence of exceptions,117,1.0,69,.9,47,1.6,1,.2,0,.0,0,.0,0,.0
"After Board decision, before court decree",275,2.3,165,2.1,70,2.4,32,4.9,2,1.0,0,.0,0,.0
"After circuit court decree, before Supreme Court action",133,1.1,76,1.0,33,1.1,19,2.9,5,2.6,0,.0,0,.0
After Supreme Court action,20,.1,14,.1,4,.1,2,.3,0,.0,0,.0,0,.0
