Division and State,Total number of polls,AFL affiliates authorized,CIO affiliates authorized,Unaffiliated unions authorized,No union shop authorized,Employees eligible to vote,Total valid votes cast,Valid votes for AFL affiliates,Valid votes for CIO affiliates,Valid votes for Unaffiliated unions,Valid votes against union shop,Employees in units authorizing union shop
South Atlantic — total,172,125,18,22,7,16315,15669,8342,2182,4083,1062,16220
East South Central — total,130,102,16,7,5,13104,11214,5034,4269,590,1317,12971
West South Central — total,99,72,11,8,8,9917,9142,5372,1712,352,494,9648
Mountain — total,189,133,18,20,16,10550,8844,4880,2603,531,850,10302
Pacific — total,971,505,159,263,44,147762,128129,61481,23983,26871,12283,144922
Outlying areas — total,85,47,4,19,0,4355,3432,1210,268,1602,352,3932
