Method and stage of disposition,Fiscal year 1943 / Number of cases,Fiscal year 1943 / Percent of cases closed,Fiscal year 1943 / Percent of cases on docket,Fiscal year 1942 / Number of cases,Fiscal year 1942 / Percent of cases closed,Fiscal year 1942 / Percent of cases on docket,Fiscal year 1941 / Number of cases,Fiscal year 1941 / Percent of cases closed,Fiscal year 1941 / Percent of cases on docket,Fiscal year 1940 / Number of cases,Fiscal year 1940 / Percent of cases closed,Fiscal year 1940 / Percent of cases on docket
Cases on docket during year,7226,,,7355,,,5051,,,3454,,
Total number of cases closed,5926,100.0,82.0,6067,100.0,82.5,3755,100.0,74.3,2499,100.0,72.9
"Adjusted before hearing, total",2935,49.6,40.6,3487,55.5,47.3,2044,55.2,40.2,997,37.1,28.9
Informally adjusted during or after hearing,58,1.0,.8,30,.5,.4,27,.9,.6,16,,
"Formally adjusted, total",241,4.0,3.4,214,3.4,2.9,79,2.1,1.6,9,,
"Certification following election or pay-roll check, total",1014,17.1,14.0,741,11.8,10.0,476,12.8,9.4,371,13.8,10.7
"Withdrawn, total",1137,19.2,15.7,1170,18.6,16.0,644,17.3,12.7,761,28.3,22.0
