Case No.,Union and respondent,Date petition filed,Type of petition,Temporary restraining order date issued,Temporary restraining order date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings withdrawn or dismissed,Date Board decision and/or order
2-CC-40,National Ass'n of Broadcast Engineers & Technicians (Telegrapher Service Corp.),"Apr. 24, 1951",10(l),,,,,,"Dec. 31, 1952"
"20-CA-323, 824, 867, 909, 910","American Precision Lines, Ltd. and Marion Navigation Co. (Individuals)",,10(j),,,,,"Jan. 2, 1952","Dec. 22, 1952"
2-CC-50,National Union of Marine Cooks & Stewards (Individuals),,10(l),,,,,,
4-CC-71,"AFL-Teamsters, Locals 249 and 286 (Roy Stone Transfer Corp.)","Sept. 14, 1951",10(l),,,,,,"Aug. 25, 1952"
2-CB-91,AFL-Bakers (Hammermill Paper Co.),"Nov. 8, 1951",10(l),"Nov. 14, 1951","Nov. 20, 1951",,,,"Aug. 28, 1952"
24-CC-1,AFL-Longshoremen (Puerto Rico Steamship Corp.),"Nov. 8, 1951",10(l),,,,,,
10-CC-49,"Mine Workers, District 50 (National Cylinder Gas Co.) (AFL-Engineer, Operating, Local 100).","Mar. 12, 1952",10(l),,,"Apr. 17, 1952",,,"July 17, 1952"
19-CC-32,AFL-Carpenters (Sound Shingle Co.),"Apr. 28, 1952",10(l),,,,,,
21-CC-39,"AFL-Carpenters, Local 220 (Capital Service, Inc.)","May 14, 1952",10(l),,,"May 22, 1952",,,"Sept. 4, 1952"
3-CC-30,"AFL-Carpenters, Local 133 (Motor Freight Carriers of Ind.)",,10(l),,,,,,
13-CC-40,"Mine Workers, District 50 (Nordan Plastics Corp.)",,10(l),,,,,,"Aug. 25, 1952"
13-CC-37,"Cargill, Inc. (CIO Packinghouse Workers, Local 65)","July 2, 1952",10(l),"July 26, 1952","Aug. 11, 1952",,,,
2-CB-14,"AFL-Painters, Local 49 (V. M. Ashworth, Inc.)","Aug. 5, 1952",do,,,,,,
32-CC-7,"AFL-Carpenters, Local 209 (Geo. A. Drath)",,10(l),,,"Sept. 23, 1952",,,"Feb. 2, 1953"
5-CC-11,"AFL-Teamsters, Local 284 (Bonded Freightways, Inc.)","Sept. 30, 1952",do,,,,,,"Dec. 11, 1952"
32-CC-5,"AFL-Teamsters, Local 229 (Ohalk Bros., Inc.)",,do,,,,,,"Dec. 16, 1952"
5-CB-13,"AFL-Teamsters, Local 528 (Pittsburgh Plate Glass Co.)",,do,,,,,,
5-CC-17,"AFL-Teamsters, Local 525 (Riverside Paper Co.)","Jan. 29, 1953",do,,,,,,"Jan. 27, 1953"
