Line item,Amount
Personnel compensation,17787965
Personnel benefits,1298968
Travel and transportation of persons,1229208
Transportation of things,51855
"Rent, communications, and utilities",662132
Printing and reproduction,417101
Other services,492172
Supplies and materials,223987
Equipment,132276
Insurance claims and indemnities,12175
"Subtotal, obligations and expenditures",22307839
"Transferred to Operating Expenses, Public Buildings Service (Rent)",14160
Total Agency,22321999
