row_label,Standard Federal Region / State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Representation cases — UD,Representation cases — AC,Representation cases — UC
Region VI (total — AR + LA + NM + OK + TX),2175,1892,1442,446,1,0,,0,0,2,273,217,11,45,2,0,6
Region VII (total — IA + KS + MO + NE),1211,1034,807,215,10,2,,0,1,0,173,127,9,26,0,0,5
Region VIII (total — CO + MT + ND + SD + UT + WY),772,654,500,85,65,1,,0,1,2,112,80,9,19,1,0,5
Region IX (total — AZ + CA + Federated States of Micronesia + Guam + HI + Marshall Islands + Northern Mariana Islands + NV),5185,4154,3172,1200,89,24,,6,18,30,663,460,23,173,11,0,9
Region X (total — AK + ID + OR + WA),938,738,541,184,4,1,,0,0,2,244,161,8,49,0,0,5
"Total, all States and areas (Grand total)",31736,26890,19939,6232,449,158,,28,30,100,4549,3587,137,829,21,1,67
