row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
",,c..r.",,4 0.,,.- 2,A7 f,,mm,om,44,74 m A,CO,"-,-.",0,0m0,
1 . ' 4E2. EwEczi .tE,o a,000,0,CON,,,ONM0V0,,0M,CI,CO,N.,4,00-,0
tad,M,"., -0.",",",MVM,0W,N,M..,MC-,",L4L1",00.,CO,.0,n,00.,.4
1 .9 C % 4,^ _ W,g - g,2,44'4,g4,R,g',An,. F.Tz,'4-7.:,"17,",24,F,"""""""",
1 .9 C % 4,Z ix,gow,CO,c.licv,vo,CO,"oc,",czao,A2,m-.,CO,MN,0 N.,",ANM",C-
1 .9 C % 4,,W'','■9,P2A,42,2,22,A4,. i .,3A4,",:::",69V,t i m-,. T .4',R
1 .9 C % 4,g' 0,"g9 * "")",'':..,PA,ER,? . s .,FfA,ER,g 4,e 44,R,ni,F 4,""""" 1",4
1 1 : A 1,a 0,r-om,; 1,"r .,,,c,",csi.,CO,",..",2.,mf--,.0-,,"m , -.",,-.0,0
1 1 : A 1,"C., C.)",000,0,000,00,0,00,00,00,000,0,00,0,000,0
1 1 : A 1,W 0,MOO,,NO.,NO.,,00,VN,.0,000,0,OM,0 N,OM°,
1 1 : A 1,M C.),00.,,V0VNMWV,,,.0,4 .,4 m,4 -0,M,- 2,t 4,m.-,M
1 1 : A 1,c p C.),4-',0,:5'4,'A,V,,34,g 2,"W""",,'4,g 0,"""Z'",CO
1 1 : A 1,M 0,PI;,n,Pmg .,m?.,,"""",RE,i g,RE P,E,mg,E,-.. .t_,m .
1 1 : A 1,.4 0,gm E --,,En,n,E,El,E .g,a,PE,i,EA,,Vgg m,4
1 1 : A 1,u ',,R,RH,g E,g,EF,Ei,g E,g EE,A,RE,A,*Em,
,,PR CC,tl,g RF,RA ...;...Z,,A iE,n -.--;,RE aa,ERE _4',g -.7,U -7,7 .i.. g-,EF,E
