row_label,Size of establishment (number of employees),Total — Number of situations,Total — Percent of all situations,Total — Cumulative percent of all situations,CA — Number of situations,CA — Percent by size class,CB — Number of situations,CB — Percent by size class,CC — Number of situations,CC — Percent by size class,CD — Number of situations,CD — Percent by size class,CE — Number of situations,CE — Percent by size class,CG — Number of situations,CG — Percent by size class,CP — Number of situations,CP — Percent by size class,CA-CB combinations — Number of situations,CA-CB combinations — Percent by size class,Other C combinations — Number of situations,Other C combinations — Percent by size class
"4,000-4,999",172,0.7,97.9,92,0.4,54,0.8,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0,16,1.2,0,0.0,
"5,000-9,999",329,1.1,99.0,179,0.9,115,1.8,4,0.4,0,0.0,1,1.7,0,0.0,1,0.5,28,2.1,1,0.7,
"Over 9,999",307,1.0,100.0,184,0.9,88,1.3,8,0.8,0,0.0,2,3.4,0,0.0,1,0.5,24,1.8,0,0.0,
