Type of Litigation,Total — all courts — Number decided,Total all courts — Upholding Board position,Total all courts — Contrary to Board position,In courts of appeals — Number decided,In courts of appeals — Upholding Board position,In courts of appeals — Contrary to Board position,In district courts — Number decided,In district courts — Upholding Board position,In district courts — Contrary to Board position,In bankruptcy courts — Number decided,In bankruptcy courts — Upholding Board position,In bankruptcy courts — Contrary to Board position,In state courts — Number decided,In state courts — Upholding Board position,In state courts — Contrary to Board position
Totals — all types,17,17,0,5,5,0,12,12,0,0,0,0,0,0,0
NLRB-initiated actions or interventions,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Actions by other parties,16,16,0,5,5,0,11,11,0,0,0,0,0,0,0
To review — Prosecutorial discretion,5,5,0,3,3,0,2,2,0,0,0,0,0,0,0
To compel NLRB to — Issue complaint,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0
To compel NLRB to — Take action in R case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To compel NLRB to — Comply with FOIA,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
