row_label,col_1,col_2
Total Board decisions,Total Board decisions,3065
Contested decisions,Contested decisions,1820
Unfair labor practice decisions,1185,
Initial (includes those based on stipulated record) __,1092,
Supplemental,4,
Backpay,50,
Determinations in jurisdic-,Determinations in jurisdic-,
tional disputes,39,
Representation decisions,632,
After transfer by regional directors for initial de- cision,47,
After review of regional director decisions,100,
On objections and/or chal- lenges,485,
Other decisions,Other decisions,3
Clarification of bargaining unit Amendment to certification,2,
,1,
Union-deauthorization,0,1245
Noncontested decisions,511 729,
Representation,Representation,
Other,5,
