row_label,Total pro- ceedings,"Injunction proceedings / Pending in district court Oct. 1, 1994",Injunction proceedings / Filed in district court fis- cal year 1995,Injunction proceedings / Total dis- positions,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / Inactive,"Pending in district court Sept. 30, 1995"
Under Sec. 10(e) total,15,0,15,3,2,1,0,0,0,0,0
Under Sec. 10(j) total,101,20,81,89,38,13,34,4,0,0,12
8(a)(1),3,1,2,2,1,1,0,0,0,0,1
8(a)(1)(3),33,3,12,21,30,10,3,17,0,0,3
8(a)(1)(2),3,2,1,3,1,0,2,0,0,0,0
8(a)(1)(4),2,1,1,2,1,0,1,0,0,0,0
8(a)(1)(5),31,2,29,25,13,5,6,1,0,0,6
8(a)(1)(2)(3),2,0,2,2,0,0,2,0,0,0,0
8(a)(1)(3)(4),1,1,0,0,0,0,0,0,0,0,1
8(a)(1)(3)(5) 8(b)(1)(A) 8(b)(1),,,,,,,,,,,
Under Sec. 10(l) total,28,5,23,21,12,1,4,2,2,1,7
(8(b) subsection,,,,,,,,,,,
