Standard Federal Region and State,All cases,All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization (UD),Amendment of certification (AC),Unit clarification (UC)
Region IX — Arizona,389,344,283,60,0,1,0,0,0,43,34,1,7,1,0,1
Region IX — California,3989,3312,2462,769,45,14,2,5,15,632,518,23,91,5,3,26
Region IX — Hawaii,553,488,431,50,1,4,0,0,2,64,52,4,8,0,0,1
Region IX — Nevada,672,586,474,94,14,3,1,0,0,81,75,3,3,0,0,5
Region IX — Total,5639,4765,3685,973,60,21,3,6,17,821,680,31,110,15,4,34
Region X — Alaska,148,110,67,43,0,0,0,0,0,35,32,0,3,0,0,3
Region X — Washington,828,600,493,103,2,0,1,1,0,200,147,7,46,9,2,17
Region X — Total,1423,1047,833,200,8,4,1,1,0,338,255,15,68,12,0,26
"Total, all States and areas",36637,30421,23622,5926,503,166,58,25,121,5829,4806,175,848,102,12,273
