Division and State,Number of elections / Total,Number of elections / AFL won,Number of elections / CIO won,Number of elections / Unaffiliated won,Number of elections / No rep,Employees eligible to vote,Total valid votes cast,Valid votes cast for / A.F.L. affiliates,Valid votes cast for / C.I.O. affiliates,Valid votes cast for / Unaffiliated unions,Valid votes cast for / No union,Employees choosing representation
South Atlantic,341,118,64,6,153,36395,30895,8672,8548,352,18113,15373
East South Central,261,94,41,10,134,39663,35310,7184,7341,9169,12656,26553
West South Central,379,156,61,18,144,40365,35665,13953,9968,3235,8776,30282
Mountain,142,72,18,10,42,16508,13682,1623,3338,5038,3683,9649
Pacific,553,242,60,24,107,36361,35002,11205,1243,,10660,19962
Outlying areas,156,62,15,12,63,19762,13022,4843,583,6294,1662,18162
