Method and stage of disposition,All R cases / Number of cases,All R cases / Percent of cases closed,RC cases 1 / Number of cases,RC cases 1 / Percent of cases closed,RM cases 1 / Number of cases,RM cases 1 / Percent of cases closed,RD cases 1 / Number of cases,RD cases 1 / Percent of cases closed
Total number of cases closed,7514,100.0,6551,100.0,607,100.0,356,100.0
Consent election,2080,27.7,1915,29.2,112,18.5,53,14.9
Before notice of hearing,1534,20.4,1420,21.7,79,13.0,35,9.8
"After notice of hearing, before hearing opened",456,6.1,413,6.3,30,5.0,13,3.7
"After hearing opened, before Board decision",90,1.2,82,1.2,3,.5,5,1.4
Stipulated election,1700,22.6,1569,24.0,96,15.8,35,9.8
Before notice of hearing,975,13.0,910,13.9,54,8.9,11,3.1
"After notice of hearing, before hearing opened",498,6.6,458,7.0,22,3.6,18,5.1
"After hearing opened, before Board decision",94,1.2,87,1.3,3,.5,4,1.1
After postelection decision,133,1.8,114,1.8,17,2.8,2,.5
Withdrawn,1761,23.4,1441,22.0,205,33.8,115,32.3
Before notice of hearing,1089,14.5,886,13.5,129,21.3,74,20.8
"After notice of hearing, before hearing opened",454,6.0,372,5.7,54,8.9,28,7.9
"After hearing opened, before Board decision",119,1.6,93,1.4,20,3.3,6,1.6
After Board decision and direction of election,99,1.3,90,1.4,2,.3,7,2.0
Dismissed,818,10.9,583,8.8,139,22.9,96,27.0
Before notice of hearing,495,6.6,323,4.9,104,17.1,68,19.1
"After notice of hearing, before hearing opened",62,.8,45,.7,10,1.6,7,2.0
"After hearing opened, before Board decision",26,.4,23,.3,1,.2,2,.6
By Board decision,235,3.1,192,2.9,24,4.0,19,5.3
Board-ordered election,1155,15.4,1043,16.0,55,9.0,57,16.0
