row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
10(k) notices of hearings issued,31,,,,,,,,,,,,
Complaints issued .,3632,2775,2575,139,I 29,,"4,",2,1,7,0,0,18
Backpay specifications Issued,42,32,32,0,0,,0,0,'0,0,o,o,. o
"Hearings completed, total",787,436,387,28,0,o,o,I,I,1,10,6,2
Initial ULP hearings,779,428,379,28,0,o,o,I,I,i,10,6,2
Backpay hearings,5,5,5,0,0,,0,0,0,0,0,0,0
Other hearings,3,3,3,0,0,,0,0,0,0,o,o,o
"Decisions by administrative law judges, total",1152,538,465,31,1,o,o,o,1,I,9,26,43
Initial ULP decisions,1084,502,431,31,1,0,0,0,1,o,9,25,4
Backpay decisions,20,s,8,0,0,0,0,0,0,0,0,o,o
Supplemental decisions,48,28,26,1,0,o,o,o,o,o,o,i,o
"Decisions and orders by the Board, total",1186,625,522,27,19,17,0,0,0,1,10,24,2
Upon consent of parties,,,,,,,,,,,,,
Initial decisions .,93,25,19,4,1,0,0,0,0,0,o,I,o
Supplemental decisions,21,12,11,1,0,0,0,0,0,0,0,o,o
Adopting administrative law judges decisions (no exceptions filed),,,,,,,,,,,,,
"Initial ULP decisions ,",275,157,133,0,14,0,0,0,0,0,3,7,o
Backpay decisions .,s,5,5,0,0,o,o,o,o,o,o,o,o
Contested,,,,,,,,,,,,,
Initial ULP decisions,706,387,323,17,3,17,0,3,0,1,6,15,2
Decisions based on stipulated record,10,9,6,2,1,0,0,0,0,0,0,o,o
Supplemental ULP decisions •,40,18,14,2,0,o,o,o,o,o,I,I,o
Backpay decisions,33,12,11,1,0,o,o,o,o,o,o,o,o
