Remedy / outcome,Total,Identification of complainant / A. F. of L. affiliates,Identification of complainant / C. I. O. affiliates,Identification of complainant / Unaffiliated unions,Identification of complainant / Individuals
Cases — Notice posted,1110,454,553,62,41
Cases — Company union disestablished,205,65,128,7,5
Cases — Workers placed on preferential hiring list,95,37,51,5,2
Cases — Collective bargaining begun,493,278,173,39,3
Workers — Workers reinstated to remedy discriminatory discharge,7111,2144,4402,427,138
Workers — Workers receiving back pay,5115,1036,3655,308,116
Workers — Back-pay awards,2284593,514006,1492197,236730,41660
Workers — Strikers reinstated,1250,573,677,0,0
