row_label,Decision category,Count
Unfair labor practice decisions (Total),Total,286
Initial (includes those based on stipulated record),ULP,227
Supplemental,ULP,24
Backpay,ULP,21
Determinations in jurisdictional disputes,ULP,14
Representation decisions (Total),Total,266
After transfer by Regional Directors for initial decision,Representation,1
After review of Regional Director decisions,Representation,36
On objections and/or challenges,Representation,229
Other decisions (Total),Total,8
Clarification of bargaining unit,Other,5
Amendment to certification,Other,0
Union-deauthorization,Other,3
Noncontested decisions (Total),Grand Total,366
Unfair labor practice (noncontested),Noncontested,135
Representation (noncontested),Noncontested,228
Other (noncontested),Noncontested,3
