row_label,Industrial group,All cases,Unfair labor practice cases / All C cases,CA,CB,CC,CD,CE,CP,Representation cases / All R cases,RC,RM,RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Food and kindred products,Food and kindred products,2048,1272,822,377,40,16,6,11,742,645,41,56,5,20,9
Tobacco manufacturers,Tobacco manufacturers,23,13,8,4,1,0,0,0,10,8,0,2,0,0,0
Textile mill products,Textile mill products,571,508,354,54,14,1,0,1,62,61,0,1,1,0,0
Apparel and other finished products made from fabrics and similar materials,Apparel and other finished products made from fabrics and similar materials,366,204,163,76,10,1,2,0,162,143,16,3,0,0,0
Lumber and wood products (except furniture),Lumber and wood products (except furniture),665,381,307,55,12,5,1,1,279,243,14,22,1,0,4
Furniture and fixtures,Furniture and fixtures,311,249,56,8,0,0,0,0,71,171,5,9,1,1,5
Paper and allied products,Paper and allied products,603,397,272,106,14,3,0,2,195,174,6,15,1,1,8
"Printing, publishing, and allied products","Printing, publishing, and allied products",1429,889,539,155,32,27,0,6,519,456,32,30,1,2,18
Chemicals and allied products,Chemicals and allied products,878,522,366,104,14,13,2,2,325,281,18,26,1,8,22
Petroleum refining and related industries,Petroleum refining and related industries,303,202,129,36,28,4,0,5,55,77,9,9,0,1,0
Rubber and miscellaneous plastic products,Rubber and miscellaneous plastic products,848,536,404,115,13,0,0,4,300,268,11,21,0,8,4
Leather and leather products,Leather and leather products,152,98,76,22,1,0,0,0,52,46,4,2,0,0,0
"Stone, clay, glass, and concrete products","Stone, clay, glass, and concrete products",916,560,388,126,49,12,1,3,333,278,24,31,0,0,21
Primary metal industries,Primary metal industries,1847,1001,640,322,21,13,0,5,333,296,12,25,1,0,23
Fabricated metal products (except machinery and transportation equipment),Fabricated metal products (except machinery and transportation equipment),2779,1141,774,310,37,12,0,8,667,523,36,48,0,7,14
Machinery (except electrical),Machinery (except electrical),1725,1007,748,268,31,3,1,4,,,,,,,
"Electrical and electronic machinery, equipment, and supplies","Electrical and electronic machinery, equipment, and supplies",1270,845,615,199,21,9,0,1,406,372,12,22,0,6,13
Aircraft and parts,Aircraft and parts,290,135,138,17,6,3,0,1,117,82,4,31,0,1,0
Ship and boat building and repairing,Ship and boat building and repairing,148,112,65,44,0,1,0,2,32,31,1,0,0,1,3
Automotive and other transportation equipment,Automotive and other transportation equipment,1220,900,606,278,10,2,1,3,292,264,13,15,0,2,23
"Measuring, analyzing, and controlling instruments; photographic, medical, and optical goods; watches and clocks","Measuring, analyzing, and controlling instruments; photographic, medical, and optical goods; watches and clocks",294,183,141,35,4,1,0,1,105,93,3,9,0,1,0
Miscellaneous manufacturing industries,Miscellaneous manufacturing industries,1101,734,444,236,19,3,1,5,239,207,19,13,0,0,10
Manufacturing,Manufacturing,18661,12218,8448,3114,407,120,33,96,6157,5345,320,492,10,61,132
