Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,CA cases — Number,CA cases — Percent of total method/closed,CB cases — Number,CB cases — Percent of total method/closed,CC cases — Number,CC cases — Percent of total method/closed,CD cases — Number,CD cases — Percent of total method/closed,CE cases — Number,CE cases — Percent of total method/closed,CP cases — Number,CP cases — Percent of total method/closed
Adopting administrative law judge's decision (no exceptions filed),160,0.6,120,0.7,27,0.4,8,0.5,0,0,1,1.2,3,0.6
Contested,538,2.0,417,2.3,69,1.2,27,1.5,0,0,2,2.4,12,2.4
Circuit court of appeals decree,391,1.5,322,1.8,60,1.0,8,0.5,0,0,1,1.2,0,0
Supreme Court action,55,0.2,44,0.2,8,0.1,1,0.1,0,0,0,0,0,0
Withdrawal,9423,34.9,6204,34.5,2311,38.7,666,37.4,7,1.1,26,31.0,207,41.4
Before issuance of complaint (Withdrawal),9186,34.0,6036,33.6,2280,38.2,648,36.4,,,26,31.0,202,40.4
"After issuance of complaint, before opening of hearing (Withdrawal)",203,0.8,151,0.8,27,0.4,17,1.0,0,0,0,0,5,1.0
"After hearing opened, before administrative law judge's decision (Withdrawal)",20,0.1,12,0.1,4,0.1,3,0.2,0,0,0,0,1,0.2
"After administrative law judge's decision, before Board decision (Withdrawal)",7,0.0,5,0.0,0,0,0,0,0,0,0,0,0,0
After Board or court decision (Withdrawal),7,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Dismissal,9347,34.6,6372,35.4,2549,42.7,280,15.7,3,0.4,28,33.3,115,23.0
Before issuance of complaint (Dismissal),8888,32.9,6036,33.6,2460,41.2,262,14.7,,,22,26.1,108,21.6
"After issuance of complaint, before opening of hearing (Dismissal)",14,0.1,11,0.1,1,0.0,2,0.1,0,0,0,0,0,0
"After hearing opened, before administrative law judge's decision (Dismissal)",4,0.0,0,0,0,0,0,0,0,0,0,0,0,0
By administrative law judge's decision (Dismissal),3,0.0,0,0,2,0.0,0,0,0,0,0,0,0,0
By Board decision (Dismissal),389,1.4,271,1.5,77,1.3,14,0.8,0,0,3,3.6,7,1.4
Adopting administrative law judge's decision (no exceptions filed) (Dismissal),60,0.2,44,0.2,13,0.2,0,0,0,0,0,0,0,0
Contested (Dismissal Board),312,1.1,227,1.3,59,1.0,13,0.7,0,0,3,3.6,7,1.4
By circuit court of appeals decree (Dismissal),46,0.2,40,0.2,6,0.1,0,0,0,0,0,0,0,0
By Supreme Court action (Dismissal),3,0.0,0,0,0,0,0,0,0,0,0,0,0,0
10(k) actions (see table 7A for details of dispositions),641,2.3,0,0,0,0,0,0,641,96.3,0,0,0,0
Otherwise (compliance with order of administrative law judge or Board not achieved — firms went out of business),14,0.1,,,,,,,,,,,,
