row_label,col_1,col_2,col_3
37-RC-29,"Kona Light & Power Co., Ltd.",4-RC-306,"McIntire, Magee & Brown Co."
16-RC-238,Koon McNatt Storage & Transfer Co.,15-RC-142,"McKamie Cleaning Co., Inc."
5-RC-98 14-RC-633,"Kopper Co., Inc.",15-RC-161,"McKesson & Robbins, Inc."
1-RC-632,"Koppers Co., Inc. Koss Shoe Co., Inc.",14-RC-224,"McKesson-Robbins, Inc."
2-RC-549,"Koven, L. 0., & Bro., Inc.",16-RC-221,"McMillian, Earl Co."
13-RC-475,"Kresge, S. S., Co. Kress, S. H., & Co.",10-RC-371,MacDonald Printing
10-RC-120 10-RC-473,Kroger Co.,,"Co., Inc."
21-RC-551,"L. N. D., Inc.",2-RC-798,"Macy, R. H., & Co., Inc."
7-RC-176,Lakey Foundry & Ma- chine Co.,31-RC-29 16-RC-83,Madison-Kipp Corp. Magnolia Petroleum Co.
2-RC-601,"La Manna, Azema & Farnan, Inc.",1-RC-927,"Magrone, B., Inc."
,,1-RC-355,Mahoney Chair Co.
21-RC-66,Lamson & Sessions Co.,,"Mahon, R. C., Co."
10-RC-281,Lane-Wells Co.,7- RC-413 34-RC-104,"Maiden Spinning Mills,"
16-RC-163,Larrance Tank Corp.,,Inc.
1-RC-600,"Lassonde, Jos: M.",1-RC-539,Maine Central Trans- portation Co.
37-RC-14 15-RC-66,"Laupahoehoe Sugar Co. Laurel -,-,Textile _Mills,",14-RC-608,Mallinckrodt Chemical Co.
13-RC-104,Inc. Leader Electric Manu- facturing Corp.,1-RC-791,"Manchester Wood Heel Co., Inc."
1-RC-580 7-RC-391,Leedon Webbing Co. Leonard Refining Co.,10-RC-37 34-RC-136,Manhattan Coils Corp. Manhattan Shirt Co.
10-RC-417,,2-RC-540,Manhattan Wire Goods
16-RC-73,"Lerio Corp., The. Le Tourneau, G. G., Corp.",2-RC-159,Co. Marchant Calculating
15-RC-167,"Levy, Louis, Grocer Co., Ltd.",,Machine Co. Margaret Supermarkets
,,10-RC-79,Inc.
4-RC-409 1-RC-433,"Lieberknecht, Karl, Inc. Liggett Drug Co., Inc. Linen Thread Co., Inc.",2-RC-635 8-RC-194,Mariner Steamship Co. Marion Power Shovel
5-RC-284 21-RC-215,"Linde Air Products Co.,",,Co.
,The.,34-RC-114,Marshall Manufactur-
8-RC-131 16-RC-21,Line Materials Co. Longhorn Sash & Door Co.,18-RC-63,ing & Processing Co. Marshalltown Trowel Co.
34-RC-61,"Louise, Frances, Full Fashioned Mills, Inc.",1-RC-259 20-RC-373,"Marsh, Jordan Co. Martinelli, S., & Co."
15-RC-233,Louisiana Steel Drum Co.,15-RC-79,"Martin, Roy 0., Lum- ber Co., Inc."
1-RC-498,Lowell Industrial Devel- opment Co.,9-RC-203 10-RC-418,"Martin, W. R. Co. Mary Jane Stores of"
1-RC-496 1-RC-519,Lowell Shuttle Co. Lumbard Watson Co.,15-RC-60,"Florida, Inc. Mathieson Chemical"
13-RC-259,,,Corp.
1-RC-299,"Lummus Co., The. Lunder Shoe Co.",5-RC-220,Mathieson Chemical
4-RC-331,"Lykens Hosiery Mills,",10-RC-89,"Corp. Maxey, L., Inc."
5-RC-248 5-RC-18,Inc. Lynchburg Foundry Co Lynchburg Transit Co.,35-RC-66,Maxon Construction
,"McDonald, Wm. P.,",9-RU- 63,"Co. Mengal Co., The."
10-RC-495,Corp'.,14-RC-167,Menke Stone & Lime
14-RC-180,McDonnell Aircraft Corp.,1-RC-631,"Co. Mercer Paper Tube,"
8-RU- 169 15-RC-32,McGean Chemical Co. McGraw Curran Lum-,18-RC-345,Inc. Meredith
,ber Co.,,Publishing Co.
4-RC-144,McIntere-Magee & Brown Co.,2-RC-272,Mergenthaler Linotype Co.
