row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All representation elections..............................................,242,98,144,132,91.7,12,8.3
By type of case:,,,,,,,
RC cases.....................................................................,208,86,122,112,91.8,10,8.2
RMcases....................................................................,4,2,2,2,100.0,0,0.0
RD cases.....................................................................,30,10,20,18,90.0,2,10.0
By type of election:,,,,,,,
Consent elections.......................................................,1,0,1,0,0.0,1,100.0
Stipulated elections....................................................,112,74,38,30,78.9,8,21.1
Expedited elections....................................................,1,0,1,1,100.0,0,0.0
Regional Director-directed elections..........................,128,24,104,101,97.1,3,2.9
Board-directed elections.............................................,0,0,0,0,0.0,0,0.0
