row_label,col_1
o g,"....,qqaqzzzz.Nm.INzellizzei .7 4 g N aomiteari•-■-■-'zcidddddd-.-Idei"
"P .,",".7.;$4 ..,- --"
0 0 =,"0.,0000.00,,m000000000000 d4dcidggd44ddddddoddddd"
n,o•-■000.4..0•-••-•000000000000
z 8,ooz0000000z000p0000000 ddsciddddddoddddddddddd
..,co...0000000000000000000
o g,omzzn000mz..1-.omoz000moz 4Wgz.f.iddde44.1:d..io.1oddr.1do
m a,..... .cop......44NO■0■000-.00
0,"gnRwM,c,*mmm.-.N.-.000.... 9 el 1 . ■m el r. el a l .. z .1 z z .1 z z va z .., .1 z z . ,*,00"
M ei,"MAMel ..... Mme4me4m,02"
I,"eclilini""1""qInniiiig"
q 8,"O '1 0 "" "" ''' * 0 ^ ` c! e t ^! .1 q . 1 w l r t . 1 .': ""I 2 2 gAmZW4AA.4 mm00000....m"
n 1 ...,".... *pggz. gcommel0.. ,M . Chmel .-..-."
F .: f .1,"c -i: , :,.. , k, , g g ti P., f a a ... * R .. 2 1 M til IA g_ ... Of r... N"
