Case No.,Union and respondent,Date petition filed,Type of petition,Temporary restraining order date issued,Temporary restraining order date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings withdrawn or dismissed,Date Board decision and/or order
3-CC-28,AFL-Federal Labor Union 24368,"Nov. 18, 1952",10(l),(1),(1),,,"Jan. 22, 1953","Jan. 31, 1953"
21-CC-46,"AFL-Los Angeles Building & Constr. Trades Council, Local 230, et al. (Standard Oil Co. of California).","Nov. 20, 1952",10(l),,,"Dec. 30, 1952",,"May 1, 1953 (expired)","June 30, 1952"
35-CC-7,"AFL-Teamsters, Local 183 (Samson Paper Mills, Inc.)","Nov. 25, 1952",10(l),,,,,,
37-CC-2,"AFL-Teamsters, Local 995 (Service Cold Storage Co.)","Dec. 1, 1952",10(l),,,,,,"Feb. 16, 1953"
2-CD-70,"AFL-Bridge, Structural Iron Workers, Locals 11 and 482 (Stone-Stone-Tracy, Inc.).","Dec. 8, 1952",10(l),,,,,"Jan. 2, 1953",
13-CC-43,"CIO-Auto Workers, Local 365 (Wagner Machinery Corp.)","Dec. 16, 1952",10(l),,,,,"May 13, 1953","Apr. 13, 1953"
11-CC-25 / 2-CD-72,"AFL-Schenectady Bldg. Trades Council (General Dynamics Corp., Electric Boat Division).","Dec. 18, 1952",10(l),,,,,,
21-CC-50,"AFL-Electrical Workers, Local 6 (Sprys Electric Co.)","Jan. 12, 1953",10(l),,,,,,"May 27, 1953"
16-CC-22,"AFL-Teamsters, Local 555 (Scott & Grauer).","Jan. 16, 1953",10(l),,,,,,
11-CC-26,"Mine Workers, District 50 (Tungsten Mining Corp.)","Jan. 24, 1953",10(l),,,"Feb. 3, 1953",,,
35-CC-22,"AFL-Teamsters, Local 135 (Hoosier Petroleum Co.)","Feb. 4, 1953",10(l),,,,,,
2-CC-115,"AFL-Longshoremen, Local 333 (New York Shipping Ass'n).","Feb. 7, 1953",10(l),"Feb. 7, 1953","Feb. 13, 1953",,,,"June 13, 1953"
2-CC-117,"AFL-Longshoremen, United Marine Division, Local 333 (Hampton Roads Maritime Ass'n).","Mar. 12, 1953",10(l),,,,,,
"2-CA-2354, 2407","Harry Holds, Etc. (CIO Retail and Wholesale, Local 30).","Mar. 12, 1953",10(j),,,,,,
30-CC-1,"AFL-Teamsters, Ports of P. R., et al. (Ass'n Anuncios Corp., Lafayette).",,10(l),,,"Mar. 26, 1953",,,
20-CD-33,"AFL-Pile Drivers Bridge, Wharf and Dock Builders, Local 34 of California (Mason & Walsh and J. M. Eldred Cole Co.).","Apr. 7, 1953",10(l),,,"May 14, 1953",,,"June 18, 1953"
17-CC-18,"AFL-International Brotherhood of Teamsters, Chauffers, Warehousemen, Helpers of America, Locals 654, 608 and 784 (McAllister Transfer Inc.).","Apr. 16, 1953",10(l),,,,,"Apr. 28, 1953 (consent)",
2-CC-118,"AFL-Electrical Workers, Local 1174 (B. E. Shell Co.).","Apr. 21, 1953",10(l),,,,,,
4-CC-83,"AFL-Garment Workers, Ladies (Jonette Mfg. Co.).","Apr. 23, 1953",10(l),,,,,,
