row_label,Circuit courts of appeals (headquarters),Total fiscal year 1978,Total fiscal years 1973-1977,Affirmed in full / Fiscal Year 1978 Number,Affirmed in full / Fiscal Year 1978 Percent,Affirmed in full / Cumulative fiscal years 1973-1977 Number,Affirmed in full / Cumulative fiscal years 1973-1977 Percent,Modified / Fiscal Year 1978 Number,Modified / Fiscal Year 1978 Percent,Modified / Cumulative fiscal years 1973-1977 Number,Modified / Cumulative fiscal years 1973-1977 Percent,Remanded in full / Fiscal Year 1978 Number,Remanded in full / Fiscal Year 1978 Percent,Remanded in full / Cumulative fiscal years 1973-1977 Number,Remanded in full / Cumulative fiscal years 1973-1977 Percent,Affirmed in part and remanded in part / Fiscal Year 1978 Number,Affirmed in part and remanded in part / Fiscal Year 1978 Percent,Affirmed in part and remanded in part / Cumulative fiscal years 1973-1977 Number,Affirmed in part and remanded in part / Cumulative fiscal years 1973-1977 Percent,Set aside / Fiscal Year 1978 Number,Set aside / Fiscal Year 1978 Percent,Set aside / Cumulative fiscal years 1973-1977 Number,Set aside / Cumulative fiscal years 1973-1977 Percent
Total all circuits,,333,1419,218,65.5,1033,72.8,51,15.3,132,9.3,8,2.4,67,4.7,9,2.7,24,1.7,47,14.1,163,11.5
"1. Boston, Mass.",,19,59,12,63.2,45,76.3,4,21.0,7,11.9,,,3,5.1,,,,,3,15.8,4,6.7
"2. New York, N.Y.",,18,132,12,66.7,101,76.5,3,16.7,9,6.8,2,11.1,5,3.8,,,3,2.3,1,5.6,11,8.3
"3. Philadelphia, Pa.",,14,94,9,64.3,57,60.6,4,28.6,13,13.8,,,6,6.4,,,5,5.3,1,7.1,13,13.8
"4. Richmond, Va.",,39,112,30,76.9,94,83.9,1,2.6,5,4.5,,,2,1.8,,,,,8,20.5,11,9.8
"5. New Orleans, La.",,55,197,37,67.3,129,65.5,9,16.4,26,13.2,1,1.8,13,6.6,1,1.8,5,2.5,7,12.7,24,12.2
"6. Cincinnati, Ohio",,29,134,21,72.4,92,68.7,3,10.3,16,11.9,,,8,6.0,,,4,3.0,5,17.3,14,10.4
"7. Chicago, Ill.",,31,100,19,61.3,73,73.0,4,12.9,9,9.0,1,3.2,10,10.0,1,3.2,1,1.0,6,19.4,7,7.0
"8. St. Louis, Mo.",,22,119,16,72.7,98,82.4,5,22.7,8,6.7,,,3,2.5,,,2,1.7,1,4.6,8,6.7
"9. San Francisco, Calif.",,91,324,53,58.2,238,73.4,12,13.2,27,8.3,1,1.1,13,4.0,5,5.5,3,0.9,11,12.1,32,9.9
"10. Denver, Colo.",,5,29,4,80.0,26,89.7,,,,,1,20.0,1,3.4,,,1,3.4,,,1,3.4
"Washington, D.C.",,15,119,9,60.0,80,67.2,,,11,9.3,1,6.7,3,2.5,1,6.7,,,4,26.7,25,21.0
