row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
AFL-CIO,180219,44462,44462,,,21222,39015,39015,,,75520
Other national unions,7290,2311,,2311,,1140,1412,,1412,,2427
Other local unions,17102,5502,,,5502,2769,3166,,,3166,5665
1-union elections,204611,52275,44462,2311,5502,25131,43593,39015,1412,3166,83612
• AFL-CIO v AFL-CIO,2632,1573,1573,,,97,363,363,,,599
AFL-C10 v National,1607,1461,641,820,,41,46,4,42,,59
AFL-CIO v Local,7427,2808,2075,,733,116,1938,787,,1151,2565
National v Local,39,38,,,21,1,0,,0,0,0
Local v Local,757,704,,,704,53,0,,,0,0
. 2-union elections,12462,6584,4289,837,1458,308,2347,1154,42,1151,3223
AFL-C10 v AFL-C10 v AFL-CIO,122,121,121,,,1,0,0,,,0
AFL-C10 v AFL-C10 v Local,313,307,148,,159,6,0,0,,"0,",0
AFL-CIO v National v Local,87,86,3,,83,1,0,0,,0,0
3 (or more)-union elections,522,514,272,0,242,8,0,0,0,0,0
Total representation elections,217595,59373,49023,3148,7202,25447,45940,40169,1454,4317,86835
B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases,B. Elections in RC cases
AFL-CIO,162146,39114,39114,,,18287,35654,35654,,,69091
Other national unions,6983,2297,,2.297,,1129,1318,,1318,,2239
Other local unions,15575,5272,,,5272,2671,2732,,,2732,4900
1-union elections,184704,46683,39114,2297,5272,22087,39704,35654,1318,2732,76230
AFL-C10 v AFL-CIO,2369,1349,1349,,,76,361,361,,,583
AFL-C10 v National,1607,1461,641,820,,41,46,4,42,,59
