row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
"1,000 to 1,999....................................................",13077,9,0.3,99.9,1,0.1,0,0.0,0,0.0,8,0.6
"2,000 to 2,999....................................................",6334,3,0.1,100.0,1,0.1,0,0.0,0,0.0,2,0.2
"3,000 to 9,999....................................................",0,0,0.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0
"Over 9,999.........................................................",17195,1,0.0,100.0,0,0.0,0,0.0,0,0.0,1,0.1
,B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD),B. Decertification elections (RD)
Total RD elections.....................,25779,364,100.0,,109,100.0,6,100.0,7,100.0,242,100.0
Under 10............................................................,540,71,19.5,19.5,9,8.3,0,0.0,1,14.3,61,25.2
10 to 19..............................................................,1074,73,20.1,39.6,15,13.8,1,16.7,2,28.6,55,22.7
20 to 29..............................................................,1031,41,11.3,50.8,8,7.3,1,16.7,1,14.3,31,12.8
30 to 39..............................................................,1023,31,8.5,59.3,12,11.0,0,0.0,1,14.3,18,7.4
40 to 49..............................................................,1064,25,6.9,66.2,8,7.3,0,0.0,0,0.0,17,7.0
50 to 59..............................................................,1177,20,5.5,71.7,12,11.0,0,0.0,0,0.0,8,3.3
60 to 69..............................................................,971,16,4.4,76.1,5,4.6,0,0.0,0,0.0,11,4.5
70 to 79..............................................................,572,8,2.2,78.3,3,2.8,0,0.0,0,0.0,5,2.1
80 to 89..............................................................,738,9,2.5,80.8,4,3.7,0,0.0,0,0.0,5,2.1
90 to 99..............................................................,738,8,2.2,83.0,3,2.8,1,16.7,0,0.0,4,1.7
100 to 109..........................................................,895,8,2.2,85.2,4,3.7,0,0.0,0,0.0,4,1.7
110 to 119..........................................................,531,5,1.4,86.5,4,3.7,0,0.0,0,0.0,1,0.4
120 to 129..........................................................,366,3,0.8,87.4,2,1.8,0,0.0,1,14.3,0,0.0
130 to 139..........................................................,812,6,1.6,89.0,1,0.9,0,0.0,0,0.0,5,2.1
140 to 149..........................................................,265,2,0.5,89.6,0,0.0,0,0.0,0,0.0,2,0.8
150 to 159..........................................................,553,4,1.1,90.7,1,0.9,0,0.0,0,0.0,3,1.2
160 to 169..........................................................,497,3,0.8,91.5,1,0.9,0,0.0,0,0.0,2,0.8
170 to 199..........................................................,806,4,1.1,92.6,2,1.8,0,0.0,0,0.0,2,0.8
