row_label,col_1,col_2,col_3
1-CA-8 4-CA-119,"Standard Box Co. Star Metal Manufac- turing Co., Inc.",13-CA-44,United Duroc Record Association.
21-CA-135 16-CA-30,"Townsend, M. L. Triangle Publications, Inc.",9-CA-26 6-CA-7,"Woolcott Flour Mills. York & Foster, Inc."
3. LMRA-CB cases,3. LMRA-CB cases,3. LMRA-CB cases,3. LMRA-CB cases
2-CB-109,"Wholesale and Ware- house Workers Union, Local 65 Independent (MacCanlis, H. Co., Inc.)",2-CB-110,"Wholesale and Ware- house Workers Union, Local 65 Independent (Feibusch, E. Co.)"
4. LMRA-CC cases,4. LMRA-CC cases,4. LMRA-CC cases,4. LMRA-CC cases
15-CC-10,"CIO Marine Cooks, & Marine Firemen, Oil- ers, Watertenders & Wipers Association,",,"Pacific Coast (Todd- Johnson Dry Docks, Inc.)."
II. Representation Cases,II. Representation Cases,II. Representation Cases,II. Representation Cases
Cases in which elections were directed,Cases in which elections were directed,Cases in which elections were directed,Cases in which elections were directed
NLRA-R cases,NLRA-R cases,NLRA-R cases,NLRA-R cases
15-R-1616,"Alabama Electric Co- operative, Inc.",5-R-2856,"Lavino, E. J., & Co. Little Rock Furniture"
21-R-3788,"Anheuser & Busch Co., Inc.",15M-R-118,Manufacturing Co. & Ma-
4-R-2712,Armstrong Cork Co.,16-R-2174,Lufkin Foundry chine Co.
10-R-2231,Carbide & Carbon Chem- icals Corp.,10-R-2694,Manhattan Coils Corp.
21-R-3997,Columbia Pictures Corp. Columbia Pictures Corp.,14-R-1736,New Era Shirt Co.
21-R-4006,Frieden Calculating Ma-,5W-R-2488,"Old Dominion Box Co., Inc."
20-R-2294 10-R-1958,chine Co. General Shoe Corp.,21-R-4073 13-R-4534,Pacific Air Motive Corp. Procter & Gamble Man-
15-R-2176,Hattiesburg Lumber & Supply Co.,1-R-3749 15-R-2166,"Sickles, F. W., Co. Southern Industries Co."
13-R-4271,International Harvester Co.,1-R-3893 9I-R-1348,"Standard Romper Co., Inc. Sterling Windows, Inc."
7-R-2612,Jarecki Machine & Tool Co.,16-R-2418,Tin Processing Corp.
2-R-7951,Johns- Manville Home Insulation Depart- ment.,15M-R-122 19-R-2154,"Tombigbee Electric Power Association. Tougaw & Olson, Inc."
13M-R-22,Kimberly Clark Co. Kimberly Clark Co.,2-R-7713,Westinghouse Electric Corp. Wirts.
18-R-1944,,20-R-1996,
