Participating unions,Elections won by unions / Total elections,Elections won by unions / Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Teamsters,Elections won by unions / Other national unions,Elections in which no representative chosen / Other local unions,Employees eligible to vote,Employees eligible to vote / Total,Employees eligible to vote / In elections won,Employees eligible to vote / In unions won by AFL-CIO unions,Employees eligible to vote / Teamsters,Employees eligible to vote / Other national unions,Elections in elections where no representative chosen / Other local unions,col_15
A. All representation elections,,,,,,,,,,,,,,,
AFL-CIO,1213,44.4,538,538,,,,675,79729,25213,25213,,,,54046
Teamsters,703,39.0,274,,274,,,429,23431,7113,,7113,,,16318
Other national unions,103,36.9,38,,,38,,65,12122,2965,,,2965,,9157
Other local unions,108,63.0,68,,,,68,40,6982,4784,,,,4784,2198
1-union elections,2127,43.2,918,538,274,38,68,1209,122894,40015,25213,7113,2965,4784,81879
2-union elections,142,75.6,113,62,19,29,3,29,20869,16795,11418,1048,,3666,4074
AFL-CIO v AFL-CIO,1,100.0,1,1,,,,0,67,67,67,,,,
AFL-CIO v Teamsters,3,66.7,2,1,1,,,1,674,432,189,243,,,242
Other 2-union,,,,,,,,,,,,,,,
3-union elections,8,75.0,6,4,0,0,0,2,1178,535,442,0,,,744
Total representation elections,2277,,1037,604,293,48,92,1240,144942,57345,37073,8161,3568,8543,86697
