Method and stage of disposition,All C cases — Number,All C cases — Percent of total closed,All C cases — Percent of total method,CA cases — Number,CA cases — Percent of total closed,CB cases — Number,CB cases — Percent of total closed,CC cases — Number,CC cases — Percent of total closed,CD cases — Number,CD cases — Percent of total closed,CE cases — Number,CE cases — Percent of total closed,CG cases — Number,CG cases — Percent of total closed,CP cases — Number,CP cases — Percent of total closed
Dismissal — Before issuance of complaint,12468,32.8,98.0,8346,30.4,3784,45.4,232,16.3,2,,22,24.4,8,20.0,76,22.1
"Dismissal — After issuance of complaint, before opening of hearing",146,0.4,1.1,115,0.4,27,0.3,1,0.0,0,0,0,0,1,2.5,2,0.5
"Dismissal — After hearing opened, before issuance of administrative law judge's decision",12,0.0,0.0,11,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0
Dismissal — By administrative law judge's decision,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Dismissal — By Board decision,93,0.2,0.7,86,0.3,6,0.0,0,0,0,0,1,0.0,0,0,0,0
Adopting administrative law judge's decision (no exceptions filed),72,0.2,0.6,66,0.2,5,0.0,0,0,0,0,1,0.0,0,0,0,0
Contested,21,0.1,0.2,20,0.1,1,0.0,0,0,0,0,0,0,0,0,0,0
Dismissal — By circuit court of appeals decree,3,0.0,0.0,2,0.0,0,0,1,0.0,0,0,0,0,0,0,0,0
Dismissal — By Supreme Court action,2,0.0,0.0,0,0,1,0.0,1,0.0,0,0,0,0,0,0,0,0
10(k) actions (see table 7A for details of dispositions),355,0.9,0.0,0,0,0,0,0,0,355,95.9,0,0,0,0,0,0
Otherwise (compliance with order of administrative law judge or Board not achieved—firm went out of business),14,0.0,0.0,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0
