row_label,Number of unfair labor practice cases / Total,Number of unfair labor practice cases / Identification of complainant / AFL affiliates,Number of unfair labor practice cases / Identification of complainant / CIO affiliates,Number of unfair labor practice cases / Identification of complainant / Unaffiliated unions,Number of unfair labor practice cases / Identification of complainant / Individuals,Number of unfair labor practice cases / Identification of complainant / Employers,Number of representation cases / Total,Number of representation cases / Identification of petitioner / AFL affiliates,Number of representation cases / Identification of petitioner / CIO affiliates,Number of representation cases / Identification of petitioner / Unaffiliated unions,Number of representation cases / Identification of petitioner / Individuals,Number of representation cases / Identification of petitioner / Employers
CA cases,,,,,,,,,,,,
"Pending July 1, 1952",2415,966,657,153,627,,2053,1294,606,181,2,
"Received July 1, 1952-June 30, 1953",4909,2005,950,271,1053,,8666,4402,2103,626,181,
"On docket July 1, 1952-June 30, 1953",7324,2971,1607,424,1680,,10719,5696,2709,807,183,
"Closed July 1, 1952-June 30, 1953",5190,2077,1194,354,1210,,9272,5021,2287,738,113,
"Pending June 30, 1953",2134,894,413,70,470,,1447,829,405,112,70,
CB cases,,,,,,,,,,,,
"Pending July 1, 1952",500,34,27,10,336,93,110,,,,,110
"Received July 1, 1952-June 30, 1953",810,30,14,16,555,195,558,,,,,558
"On docket July 1, 1952-June 30, 1953",1310,64,41,26,891,288,668,,,,,668
"Closed July 1, 1952-June 30, 1953",882,34,22,14,606,206,543,,,,,543
"Pending June 30, 1953",428,30,19,12,285,91,125,,,,,125
CC cases,,,,,,,,,,,,
"Pending July 1, 1952",60,4,1,0,0,46,85,2,,,83,
"Received July 1, 1952-June 30, 1953",179,2,3,1,8,165,672,2,1,,472,
"On docket July 1, 1952-June 30, 1953",228,4,4,1,8,211,684,3,1,,557,
"Closed July 1, 1952-June 30, 1953",162,2,3,1,7,157,476,2,,,470,
"Pending June 30, 1953",66,2,1,,1,67,92,1,,,83,
CD cases,,,,,,,,,,,,
"Pending July 1, 1952",24,6,0,0,1,23,,,,,,
"Received July 1, 1952-June 30, 1953",71,7,0,0,0,64,,,,,,
"On docket July 1, 1952-June 30, 1953",95,10,1,0,1,87,,,,,,
"Closed July 1, 1952-June 30, 1953",78,6,0,0,0,72,,,,,,
"Pending June 30, 1953",17,4,1,0,0,15,,,,,,
