Case-flow stage,Total,A. F. of L. affiliates,C I O affiliates,Unaffiliated unions,Individuals,Employers
"All cases — Cases pending July 1, 1949",5722,2290,1137,608,1358,329
"All cases — Cases received July 1, 1949-June 30, 1950",21632,10107,4630,3386,2214,1295
"All cases — Cases on docket July 1, 1949-June 30, 1950",27354,12397,5767,3994,3572,1624
"All cases — Cases closed July 1, 1949-June 30, 1950",20640,9808,4266,3000,2359,1207
"All cases — Cases pending June 30, 1950",6714,2589,1501,994,1213,417
"Unfair labor practice cases — Cases pending July 1, 1949",3049,790,577,204,1271,207
"Unfair labor practice cases — Cases received July 1, 1949-June 30, 1950",5809,1658,1049,670,1837,595
"Unfair labor practice cases — Cases on docket July 1, 1949-June 30, 1950",8858,2448,1626,874,3108,802
"Unfair labor practice cases — Cases closed July 1, 1949-June 30, 1950",5615,1609,916,549,1994,547
"Unfair labor practice cases — Cases pending June 30, 1950",3243,839,710,325,1114,255
"Representation cases — Cases pending July 1, 1949",1962,982,428,344,86,122
"Representation cases — Cases received July 1, 1949-June 30, 1950",9279,4550,2126,1533,370,700
"Representation cases — Cases on docket July 1, 1949-June 30, 1950",11241,5532,2554,1877,456,822
"Representation cases — Cases closed July 1, 1949-June 30, 1950",8761,4363,2006,1375,357,660
"Representation cases — Cases pending June 30, 1950",2480,1169,548,502,99,162
"Union-shop authorization cases — Cases pending July 1, 1949",711,518,132,60,1,
"Union-shop authorization cases — Cases received July 1, 1949-June 30, 1950",6544,3899,1455,1183,7,
"Union-shop authorization cases — Cases on docket July 1, 1949-June 30, 1950",7255,4417,1587,1243,8,
"Union-shop authorization cases — Cases closed July 1, 1949-June 30, 1950",6264,3836,1344,1076,8,
"Union-shop authorization cases — Cases pending June 30, 1950",991,581,243,167,0,
