row_label,col_1,col_2,col_3
.21-R-3998,Technicolor Motion Pic- ture Corp.,14-R-1796,Vevier Loos Leaf Co.
16-R-2413,Texas Electric Service Co.,21-R-3999,Walt Disney Productions.
16-R-2223,Texas Pacific Motor Transport Co.,2-R-7713,"Westinghouse Electric Corp., Lamp Division."
16-R-2418,Tin Processing Corp.,67R-1733,Westinghouse Electric sCorp.
.19-R-2154,"Tougaw & Olson, Inc.",10-R-2794,"White, Liddon, Sales & Service Co."
1-R-3870,"Underwood Corp., The, General Research Lab- oratory of.",4-R-2739 8-R-2734,"Wint, F. W., Co., Ltd. Wooster Rubber Co., The."
14-TR-1730,Union Starch SE Refining Co.,16-R-2375,Wyatt Metal & Boiler Works.
"LMRA, RC purpose of collective bargaining under section 9 (c) (1) (A) (i) cases-petition by employee for certification of representatives for","LMRA, RC purpose of collective bargaining under section 9 (c) (1) (A) (i) cases-petition by employee for certification of representatives for","LMRA, RC purpose of collective bargaining under section 9 (c) (1) (A) (i) cases-petition by employee for certification of representatives for","LMRA, RC purpose of collective bargaining under section 9 (c) (1) (A) (i) cases-petition by employee for certification of representatives for"
5-RC-104,"Abell, -A. S., Co., Pub- lishing.",21-RC-81,"American National ,In- surance Co."
21-RC-145,Ace Novelty Manufac- turing Co.,2-RC-91,"American News Co., Inc., The."
• 16-RC-64,Acme Brick Co.,10-RC-184,American Optical Co.
10-RC-181 •,Acme Lumber & Supply Co.,32-RC-13 16-RC-57,American Optical Co. American Petroleum Co.
i-RC-414 20-RC-116,"Advance Auto Sales, Inc. Advance Pattern Co.",5-RC-63,of Texas. American Pigment Corp.
10-RC-59,Agricola Furnace Co.,16-RC-79,American Republics Corp.
21-RC-38,Air-Conditioning of Southern California.,10-RC-102 10RC-71,American Rubber Corp. American Tobacco Co. American Window Glass
13-RC-137 19-RC--,"Air Reduction Sales Co. Alaska Salmon Industry, me.",6-RC-21 35-RC-45,Co. Amos Molded Plastic Co.
19-RC--6,"Alaska Salmon Industry, Inc.",10-RC-38 1Q-RC-140,"Andrews Co., The. - Armour Armour & Co."
10-RC-139 10-RC-114,"Albany Peanut Co. Alexander Bros. Lumber Co., Inc.",34-RC-36 10-RC-138,Armour & Co. Armour Fertilizer Co. Armour Fertilizer Works.
10-RC-111,"Alexander, J. F., Lumber Co.",15-RC-26 34-RC-37,Armour Fertilizer Works. Armstrong Cork Co.
4-RC-28,Allied Chemical & Dye,10-RC-165 1-RC-105,• Arrow Hart & Hegeman
17-RC-22,• Corp. Allied Container Corp.,4-R6-17,"Co., Inc. Arrow Throwing Rayon"
2-RC-84,"Allied Mills, Inc.",13-RC-219,Co.
,"Alpine Trading Co., & Eutectic Welding Alloy",10-RC-65,"Ashland Iron & Steel Co., Inc. Atlanta Tile & Brick Co."
,Corp.,,Atlantic Cooperage_Co.
16-RC-46 8-RC-87,"Amarillo Bus Co. American Anode, Inc. American Bus Lines, Inc.",10-RC-215 13-RC-68,• Automatic Electric Co.
21-RC-230 13-RC-22,American Cabinet Hard- ware Corp. American Container Co.,13-RC-72 2-RC-13,"Automatic Electric Co. Automatic Scale Manu- facturing Co., Einar"
17-RC-13,American District Tele-,,Autopulse Corp.
9-RC-7,,,"Holm, d/b/a."
,graph Co.,7-RC-37,
1-RC-195 16-RC-65,American Felt Co. American Iron &,36-RC-17,B MTimber Co. Babcock Printing Corp.
,Ma- chine Works Co.,8-RC-40,Press
•35-RC-41,American Lawn Mower Co.,2-RC-24 31-RC-4 10-RC-136,"Bach, Vincent Corp. Badger Printing Co."
16-RC-143,American National,,Baines Peanut Co.'
,In- surance Co.,21-RC-53,Baker Castor Oil Co.
