row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decisions on objections and/or challenges, total",1377,1310,1217,48,45,6
By regional directors,376,344,301,30,13,3
By Board,1001,966,916,18,32,3
In stipulated elections,957,924,875,13,31,3
No exceptions to regional directors' reports_ Exceptions to regional directors' reports_ _,589 368,563 361,530 345,11 7,22 9,3 o
In directed elections (after transfer by re- gional director),,,,,,
Review of Regional directors' supplemental decisions,37,35,35,o,o,0
Request for review received,74,66,56,5,5,0
Withdrawn before request ruled upon,o,o,o,o,o,o
"Board action on request ruled upon, total_",so,52,45,4,3,0
Granted Denied Remanded,14,13 38,12 32,o 4,1 2,o
"Withdrawn after request granted, before",45 1,1,1,o,o,0 o
Board review,,,,,,
,o,o,o,o,o,o
"Board decisions after review, total",7,7,6,0,1,o
Regional directors' decisions Affirmed,o,o,o,o,o,o
Modified,o,o 7,e,o,1,
Reversed,7,,o,o,o,o o
