Division and State,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
South Atlantic (division),4150,2694,2091,507,132,21,13,5,24,1120,951,32,108,8,8,13
East South Central (division),2700,1578,1166,310,76,16,1,1,8,606,522,22,62,7,1,17
West South Central (division),2708,1463,1143,201,78,30,4,0,11,820,742,20,59,1,3,13
Mountain (division),2353,1526,1100,316,84,18,8,4,8,742,612,53,77,1,5,13
Pacific (division),8250,5373,3361,1280,315,138,19,12,130,2470,2108,155,203,3,30,61
"Outlying areas (Puerto Rico, Virgin Islands)",423,180,112,44,9,0,0,0,0,242,231,1,10,0,0,1
"Total, all States and outlying areas",44923,31253,20311,7575,2008,566,120,60,303,13083,11037,680,1196,20,61,317
