row_label,Objections filed,Objections withdrawn,Objections ruled upon,Overruled / Number,Overruled / Percent of total ruled upon,Sustained / Number,Sustained / Percent of total ruled upon
All representation elections,1057,201,856,693,80.95,163,19.4
By type of case,,,,,,,
RC cases,954,187,767,618,80.5,149,19.4
RM cases,27,3,24,19,79.1,5,20.8
RD cases,76,11,65,56,86.1,9,13.8
By type of election,,,,,,,
Consent elections,24,13,11,9,81.8,2,18.1
Stipulated elections,751,144,607,490,80.7,117,19.2
Expedited elections,0,0,0,0,0.0,0,0.0
Regional director-directed elections,260,43,217,186,85.7,31,14.2
Board-directed elections,22,1,21,8,38.0,13,61.9
