row_label,Division and State,Total elections / Total,Number of elections in which representation rights were won by unions / Total,Number of elections in which no rep was chosen / AFL-CIO unions,Number of employees eligible to vote / Other national unions,Total valid votes cast / Other local unions,Valid votes cast for unions / Number of elections in which no rep was chosen,Eligible employees in units choosing rep no union / Number of employees eligible to vote,Total valid votes cast,Total,AFL-CIO unions,Other national unions,Other local unions,Eligible employees in units choosing rep no union
West North Central,58,21,21,0,0,37,2560,2176,992,973,0,19,1184,1073
South Atlantic,39,14,13,0,1,25,1559,1413,669,658,0,11,744,747
East South Central,23,6,6,0,0,17,1375,1238,502,480,22,0,716,485
West South Central,34,13,2,0,0,19,2623,2119,1237,1021,0,216,982,1499
