Status of cases,Total,Identification of filing party — AFL-CIO unions,Identification of filing party — Teamsters,Identification of filing party — Other national unions,Identification of filing party — Other local unions,Identification of filing party — Individuals,Identification of filing party — Employers
"Pending October 1, 1982 (CA)",16238,7352,2088,857,941,4979,19
Received fiscal 1983 (CA),28995,11838,3433,1407,1592,10799,15
On docket fiscal 1983 (CA),45231,19190,5521,2264,2444,15778,34
Closed fiscal 1983 (CA),27454,11118,3179,1284,1398,10460,14
"Pending September 30, 1983 (CA)",17777,8072,2342,980,1045,5318,20
"Pending October 1, 1982 (CB)",2687,62,10,18,33,1934,635
Received fiscal 1983 (CB),8973,52,25,30,69,7187,1630
On docket fiscal 1983 (CB),11660,114,35,28,102,9121,2265
Closed fiscal 1983 (CB),8324,67,18,12,66,6730,1431
"Pending September 30, 1983 (CB)",3336,47,17,11,36,2391,834
"Pending October 1, 1982 (CC)",658,15,1,0,21,12,587
Received fiscal 1983 (CC),1676,26,4,2,19,25,1601
On docket fiscal 1983 (CC),2314,41,4,2,40,37,2188
Closed fiscal 1983 (CC),1420,27,2,2,24,24,1329
"Pending September 30, 1983 (CC)",894,14,2,0,16,13,849
"Pending October 1, 1982 (CD)",169,11,0,1,2,2,153
Received fiscal 1983 (CD),414,11,1,2,8,6,386
On docket fiscal 1983 (CD),583,22,1,3,10,8,539
Closed fiscal 1983 (CD),370,12,1,1,6,6,344
"Pending September 30, 1983 (CD)",213,10,0,0,4,4,195
CE cases — Received fiscal 1983 (Total only; per-filer cells partial),74,,,,,,
CG cases — Received fiscal 1983 (Total only),39,,,,,,
CP cases — Received fiscal 1983 (Total only),463,,,,,,
