Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
New England state,,,,,,,,,,,,,,,
New England (subtotal),1319,694,422,140,82,22,1,17,567,508,43,34,16,7,5
Middle Atlantic state,,,,,,,,,,,,,,,
Middle Atlantic (subtotal),5522,3353,2079,803,263,125,16,100,2073,1736,169,120,35,,
East North Central state,,,,,,,,,,,,,,,
East North Central (subtotal),7509,4273,2861,974,232,90,37,70,3028,2570,256,193,26,,59
West North Central state,,,,,,,,,,,,,,,
West North Central (subtotal),2274,1384,892,298,97,70,0,27,1052,903,78,71,11,,21
