row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Illinois......................................................,195,101,95,5,1,94,8518,7503,3656,3481,87,88,3847,2796
Indiana......................................................,53,25,25,0,0,28,3374,3134,1375,1375,0,0,1759,1064
Michigan..................................................,126,73,67,4,2,53,5704,4823,2726,2465,139,122,2097,3590
Ohio..........................................................,146,71,70,1,0,75,9269,8553,4029,3889,83,57,4524,3173
Wisconsin..................................................,58,31,29,0,2,27,3345,2890,1392,1306,0,86,1498,1343
East North Central................................,578,301,286,10,5,277,30210,26903,13178,12516,309,353,13725,11966
Alabama....................................................,22,5,5,0,0,17,1974,1770,720,642,0,78,1050,159
Kentucky..................................................,33,13,10,2,1,20,3661,3401,1252,1203,26,23,2149,589
Mississippi................................................,11,7,7,0,0,4,1557,1427,624,624,0,0,803,390
Tennessee..................................................,18,9,6,1,2,9,1596,1438,742,677,19,46,696,708
East South Central................................,84,34,28,3,3,50,8788,8036,3338,3146,45,147,4698,1846
New Jersey................................................,130,66,57,4,5,64,7130,6072,3310,2690,357,263,2762,3742
New York..................................................,255,169,146,7,16,86,26230,19652,11791,9913,299,1579,7861,14462
Pennsylvania............................................,165,99,91,5,3,66,8877,7830,3823,3620,107,96,4007,3739
Middle Atlantic....................................,550,334,294,16,24,216,42237,33554,18924,16223,763,1938,14630,21943
Arizona......................................................,20,14,12,2,0,6,1037,877,484,415,69,0,393,459
Colorado....................................................,28,13,12,1,0,15,1509,1287,677,656,21,0,610,642
Idaho..........................................................,7,6,5,1,0,1,512,445,323,284,39,0,122,508
Montana....................................................,11,6,6,0,0,5,230,167,72,72,0,0,95,97
Nevada......................................................,36,22,20,1,1,14,2264,1967,1029,616,0,413,938,808
New Mexico..............................................,22,13,10,3,0,9,536,469,213,181,30,2,256,178
Utah..........................................................,9,5,5,0,0,4,157,185,115,115,0,0,70,45
