Month,Cases received / Number / All cases,Cases received / Number / Unfair labor practice cases,Cases received / Number / Representation cases,Cases received / Percent of total / Unfair labor practice cases,Cases received / Percent of total / Representation cases,Cases received / Workers involved / Unfair labor practice cases,Cases received / Workers involved / Representation cases
Total,12260,3815,8445,31.1,68.9,4013876,1206338
July,821,181,640,22.0,78.0,338390,92048
August,888,249,639,28.0,72.0,249130,142683
September,738,200,538,27.1,72.9,263043,124836
October,969,280,689,28.9,71.1,153198,122777
November,787,267,520,33.9,66.1,590997,68409
December,646,206,440,31.9,68.1,181098,64396
January,835,331,504,39.6,60.4,609233,77866
February,935,329,606,34.3,65.7,194284,77366
March,1298,423,875,32.6,67.4,231784,96562
April,1457,454,1003,31.2,68.8,584569,121838
May,1427,451,976,31.6,68.4,252101,114339
June,1396,401,995,28.7,71.3,205089,102356
