row_label,Division and State,All cases,Unfair labor practice cases — All C cases,CA,CB,CC,CD,CE,CG,CP,Representation cases — All R cases,RC,RM,RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
New England (subtotal),2772,2275,1700,432,91,,,,,,482,374,17,,,4,27
Middle Atlantic (subtotal),9016,7318,4683,2150,350,,,,,,1565,1211,,352,,6,21
East North Central (subtotal),11832,9419,6941,1772,311,,,,,,1866,1153,,425,68,12,67
West North Central (partial subtotal — visible),3205,2682,2013,484,,,,,,,443,319,47,,,,36
