row_label,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Manufacturing (NAICS 32) — sector subtotal,2175,1819,1480,320,12,3,1,0,3,304,245,12,73,7,0,19
Manufacturing (NAICS 33) — sector subtotal,4837,4296,3157,1082,24,13,7,1,7,514,385,15,114,19,1,17
Wholesale Trade (NAICS 42) — sector subtotal,970,763,618,124,14,1,2,0,4,197,145,5,47,5,0,5
Retail Trade (NAICS 44) — sector subtotal,1472,1158,915,221,11,2,2,0,7,292,226,12,54,6,0,16
