row_label,Industrial group,Total elections,Number of elections in which representation rights were won by unions — Total,Number of elections in which representation rights were won by unions — AFL-CIO unions,Number of elections in which representation rights were won by unions — Teamsters,Number of elections in which representation rights were won by unions — Other national unions,Number of elections in which representation rights were won by unions — Other local unions,Number of elections in which no representative chosen,Total employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Valid votes cast for no unions,Eligible employees in elections won by unions
Mining and quarrying of nonmetallic minerals (except fuels),42,13,3,1,8,1,29,369,,333,,,,,,,
Construction,365,122,113,5,1,3,243,12931,11634,5587,5109,,,,6047,5041,
Wholesale trade,153,57,31,14,4,8,96,,,,,,,,,,
Retail trade,327,122,64,30,18,10,205,13824,,,,,,,,,
Transportation,277,109,64,32,5,8,168,12621,,,,,,,,,
Health services,343,209,134,6,51,18,134,33103,28827,14558,,,,,,14668,
