Industrial group,All cases,Unfair labor practice cases All C cases,CA,CB,CC,CD,CE,CG,CP,Representation cases All R cases,RC,RM,RD,Union deauthorization cases UD,Amendment of certification cases AC,Unit clarification cases UC
Mining,885,502,360,98,20,5,0,0,0,365,300,9,56,0,1,4
Construction,4367,3343,1587,1065,165,21,1,0,21,617,490,38,60,6,1,8
Wholesale trade,4558,,,,,,,,,,,,,,,
Retail trade,1128,853,,,,,,,,,,,,,,
Other industries (catch-all of intermediate rows),,,,,,,,,,,,,,,,
"Total, all industrial groups",23448,17628,11628,5160,591,140,14,0,95,5494,4442,382,670,82,39,205
GRAND TOTAL,46289,34195,23296,9547,935,218,26,0,173,11470,9418,669,1384,212,70,342
