row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Nevada,15,3,1,2,0,0,12,808,666,240,180,60,0,0,426,58
Mountain,153,70,41,17,4,8,83,5985,5259,2457,1216,649,366,226,2802,1887
Washington,129,59,34,15,6,4,70,4585,3860,1948,1283,319,175,171,1912,2259
Oregon,42,12,8,3,1,0,30,2362,2071,598,361,79,147,11,1473,395
California,449,185,110 5,57 4,8,10,264,"25,299 372","21,750 261","11,949 III","4,891 63","6,284 42",92 6,682 0,"9,801 150",11242
Alaska,23,10,8,3,1,0,13 11,1415,1236,710,219,86,394,11,526,118 673
Hawaii Guam,30 1,19 1,0,1,7 0,1 0,0,16,14,8,0,8,0,0,6,16
Pacific,674,286,165,83,23,15,388,34049,29192,15324,6817,6818,814,875,13868,14703
Puerto Rico,48,32,9,5,t,17,16,5008,4539,2768,876,207,322,1363,1771,2329
Virgin Islands,9,4,4,0,0,0,5,222,208,63,63,0,0,0,145,91
Outlying Areas,57,36,13,5,I,17,21,5230,4747,2831,939,207,322,1363,1916,2420
"Total, all States and areas",3561,1655,983,424,64,184,1906,211696,,,,18540,,,88018,92231
,,,,,,,,,187669,99651,63392,,3283,14436,,
