Type of Board decision,Leaf count,Sub-total,Grand total
Total Board decisions,,,2032
  Contested decisions,,,1306
    Unfair labor practice decisions,,925,
      Initial (includes those based on stipulated record),858,,
      Supplemental,16,,
      Backpay,31,,
      Determinations in jurisdictional disputes,20,,
    Representation decisions,,370,
      After transfer by Regional Directors for initial decision,18,,
      After review of Regional Director decisions,56,,
      On objections and/or challenges,296,,
    Other decisions,,11,
