Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
27-CC-11,"Distillery Workers, Local 9 (Leonard Kreusch, Inc.)","Apr. 18, 1958",10 (l),"Apr. 18, 1958",,"Apr. 28, 1958 (consent)",,"Nov. 12, 1958","Nov. 5, 1958"
13-CD-3,"United Brotherhood, Local 982, et al. (Robert Hawes Co.)","Apr. 24, 1958",,,,,,"Dec. 20, 1958","Aug. 30, 1958"
22-CC-12,"Garment Workers, Ladies, Local 155 (Mereshen Knitting Mills, Inc.)","May 7, 1958",10 (l),"May 12, 1958",,"Oct. ?, 1958",,"Feb. 25, 1959",Withdrawn
Additional case rows present,,,,,,,,,
