Standard Federal Region / State,All cases,Under labor practices cases — All,Under labor practices cases — CA,Under labor practices cases — CB,Under labor practices cases — CC,Under labor practices cases — CD,Under labor practices cases — CE,Under labor practices cases — CG,Under labor practices cases — CP,Representation cases — All,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Region IV — South Carolina,156,121,86,35,0,0,0,0,0,33,28,2,3,1,0,1
Region IV — Tennessee,752,632,480,89,32,0,0,0,8,120,100,5,15,0,0,8
Region IV (subtotal — Atlanta SE: AL/FL/GA/KY/MS/NC/SC/TN),4320,3556,2761,749,26,,,,20,740,612,21,107,23,0,21
Region V (subtotal — Chicago Midwest: IL/IN/MI/MN/OH/WI),9841,7733,5624,1729,241,50,4,1,70,1971,1546,93,332,50,6,81
Region VI (subtotal — Dallas SW: AR/LA/NM/OK/TX),1953,1627,1411,467,13,,,,21,304,233,13,58,5,2,15
Region VII (subtotal — Kansas City Plains: IA/KS/MO/NE),1256,1036,707,241,57,12,0,1,12,207,163,8,26,5,1,9
Region VIII (subtotal — Denver Mountain N: CO/MT/ND/SD/UT/WY),488,393,,,,,,,,,,,,,,
