row_label,Fiscal year 1972 / Number of proceedings / Total,Fiscal year 1972 / Number of proceedings / Vs. employers only,Fiscal year 1972 / Number of proceedings / Vs. unions only,Fiscal year 1972 / Number of proceedings / Vs. both employers and unions,Fiscal year 1972 / Number of proceedings / Board dismissal,Fiscal year 1972 / Percentages / Vs. employers only,Fiscal year 1972 / Percentages / Vs. unions only,Fiscal year 1972 / Percentages / Vs. both employers and unions,Fiscal year 1972 / Percentages / Board dismissal,"July 5, 1935 - June 30, 1972 / Number","July 5, 1935 - June 30, 1972 / Percent"
Proceedings decided by U.S. courts of appeals,361,283,64,2,12,,,,,,
On petitions for review and/or enforcement,341,268,61,0,12,100.0,100.0,,100.0,5049,100.0
Board orders affirmed in full,239,190,49,0,0,67.2,80.3,,,3062,60.6
Board orders affirmed with modification,39,30,8,0,0,13.4,4,,83.3,765,15.1
Remanded to Board,16,11,3,0,0,0,,,,,
Board orders partially affirmed and partially remanded,5,4,1,0,0,1.1,3.2,,,,
Board orders set aside,42,33,9,0,0,14.7,,,,775,15.4
On petitions for contempt,21,16,3,2,0,100.0,100.0,100.0,,,
"Compliance after filing of petition, before court order",13,13,0,0,0,81.3,,,,,
Court orders holding respondent in contempt,5,2,1,2,0,,,100.0,,,
Court orders denying petition,3,1,2,0,0,,,,,,
Proceedings decided by U.S. Supreme Court,8,4,1,0,0,100.0,100.0,,,,
Board orders affirmed in full,2,1,1,0,0,,,,,,
Board orders affirmed with modification,,,,,,,,,,,
Board orders set aside,,,,,,,,,,,
Remanded to court of appeals,,,,,,,,,,,
Board's request for modification of enforcement order denied,,,,,,,,,,,
Contempt cases remanded to court of appeals,,,,,,,,,,,
Contempt cases enforced,,,,,,,,,,,
